field_1,Codigo,Linea,Nombre,Latitude,Longitud,No_Lineas,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,geometry
1756,1102-151,1102,av. Luis orci y calle gral. Piña,29.108752,-110.965815,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.965815 29.108752)
1757,1102-152,1102,av. Luis orci y calle guadalupe victoria,29.108508,-110.967795,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.967795 29.108508)
1758,1102-153,1102,av. Luis orci y calle de la reforma,29.108283,-110.969739,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.969739 29.108283)
1759,1102-154,1102,av. Luis orci y calle francisco monteverde,29.108026,-110.97175,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.97175 29.108026)
1760,1102-155,1102,av. Luis orci y calle 12 de octubre,29.107767,-110.973772,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.973772 29.107767)
1761,1102-156,1102,av. Luis orci y calle arizona,29.107519,-110.975731,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.975731 29.107519)
1762,1102-157,1102,av. Luis orci y privada gandara,29.107398,-110.976768,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.976768 29.107398)
1763,1102-158,1102,av. Luis orci y calle simon bley,29.107272,-110.977746,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.977746 29.107272)
1764,1102-159,1102,av. Luis orci y manuel i. loaiza,29.107151,-110.978735,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.978735 29.107151)
1765,1102-160,1102,av. Luis orci y olivares,29.107033,-110.979715,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.979715 29.107033)
1766,1102-161,1102,av. Luis orci y calle guillermo arreola,29.106865,-110.980752,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.980752 29.106865)
1767,1102-162,1102,av. Luis orci y calle t. Lopez del castillo,29.10678,-110.981717,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.981717 29.10678)
1768,1102-163,1102,av. Luis orci y calle gustavo f. muñoz,29.106635,-110.982736,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.982736 29.106635)
1769,1102-164,1102,av. Luis orci y calle carlos caturegli,29.106517,-110.983705,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.983705 29.106517)
1770,1102-165,1102,av. Luis orci y jose obregon,29.10628,-110.985706,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.985706 29.10628)
1771,1102-166,1102,av. Luis orci y ayuntamiento,29.106124,-110.986927,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.986927 29.106124)
1772,1102-167,1102,av. Luis orci y francisco l. carreon,29.105922,-110.988575,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.988575 29.105922)
1773,1102-168,1102,av. Luis orci y arturo s. haro,29.105804,-110.989783,1,1102,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,POINT (-110.989783 29.105804)
